Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
12.363164125,1,1,1,1,1,1,1,1
12.363183083,1,1,0,1,1,1,1,1
12.363183125,1,0,0,1,0,1,1,1
12.363183167,1,0,0,0,0,1,1,1
12.363183333,1,1,1,1,1,1,1,1
12.363185333,1,1,0,1,1,1,1,1
12.363185375,1,0,0,0,0,1,1,1
12.363186125,1,1,0,1,0,1,1,1
12.363186167,1,1,1,1,1,1,1,1
12.363187833,1,1,0,1,1,1,1,1
12.363187875,1,1,0,0,0,1,1,1
12.363187917,1,0,0,0,0,1,1,1
12.363188583,1,1,0,0,0,1,1,1
12.363188625,1,1,0,1,1,1,1,1
12.363188667,1,1,1,1,1,1,1,1
12.363200542,1,1,0,1,1,1,1,1
12.363200750,1,1,1,1,1,1,1,1
12.363202375,1,1,0,1,1,0,1,1
12.363202417,1,1,0,0,1,0,1,1
12.363202458,1,0,0,0,1,0,1,1
12.363206167,1,1,0,0,1,0,1,1
12.363206250,1,1,0,1,1,0,1,1
12.363206292,1,1,1,1,1,1,1,1
12.363221292,1,1,0,1,1,1,1,1
12.363221458,1,1,1,1,1,1,1,1
12.363223542,1,1,0,1,1,1,1,1
12.363223583,1,0,0,0,0,1,1,1
12.363224167,1,1,0,1,1,1,1,1
12.363224208,1,1,1,1,1,1,1,1
12.363226000,1,1,0,1,1,1,1,1
12.363226042,1,0,0,0,0,1,1,1
12.363226708,1,1,0,0,0,1,1,1
12.363226750,1,1,1,1,1,1,1,1
12.363233000,1,1,0,1,1,1,1,1
12.363233125,1,1,1,1,1,1,1,1
12.363235208,1,1,0,1,0,1,1,1
12.363235250,1,0,0,0,0,1,1,1
12.363235917,1,1,1,1,1,1,1,1
12.363237583,1,1,0,1,1,1,1,1
12.363237625,1,0,0,0,0,1,1,1
12.363238583,1,1,0,1,0,1,1,1
12.363238625,1,1,0,1,1,1,1,1
12.363238667,1,1,1,1,1,1,1,1
12.367738167,1,0,0,0,0,1,1,1
12.367738750,1,1,0,1,1,1,1,1
12.367738792,1,1,1,1,1,1,1,1
12.367740500,1,1,0,1,1,1,1,1
12.367740542,1,0,0,0,0,1,1,1
12.367741542,1,1,0,1,1,1,1,1
12.367741583,1,1,1,1,1,1,1,1
12.367750083,1,1,0,1,1,0,1,1
12.367750125,1,0,0,0,1,0,1,1
12.367752958,1,1,0,0,1,0,1,1
12.367753042,1,1,0,1,1,0,1,1
12.367753083,1,1,1,1,1,1,1,1
